"type","generator","copyright","timestamp","features__type","features__properties__@id","features__properties__created_by","features__properties__leisure","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002","features__id","features__properties__access","features__properties__name","features__properties__operator","features__properties__layer","features__properties__source","features__properties__natural","features__properties__tourism","features__properties__amenity","features__properties__website","features__properties__equipment","features__properties__shade","features__properties__wheelchair","features__properties__addr:city","features__properties__addr:housenumber","features__properties__addr:postcode","features__properties__addr:street","features__properties__phone","features__properties__opening_hours","features__properties__wikidata","features__properties__wikipedia","features__properties__name:en","features__properties__surface","features__properties__playground:theme","features__properties__addr:province","features__properties__description","features__properties__fee","features__properties__indoor"
"","","","","Feature","node/320383447","","playground","Point","144.8751983","-37.8555089","node/320383447","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/320490800","Potlatch 0.10f","playground","Point","144.8685812","-37.8183421","node/320490800","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/323039983","Potlatch 0.10f","playground","Point","144.9720971","-37.7669586","node/323039983","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/323857318","","playground","Point","145.0011878","-37.7591881","node/323857318","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/324212558","Potlatch 0.10f","playground","Point","145.4047119","-37.8255569","node/324212558","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/325001644","","playground","Point","145.2581091","-37.9830955","node/325001644","","","","","","peak","viewpoint","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/338854848","","playground","Point","145.0685433","-37.8772099","node/338854848","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/339306800","Potlatch 0.10f","playground","Point","145.3438718","-37.7449713","node/339306800","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/343608377","Potlatch 0.10f","playground","Point","145.1676786","-37.831065","node/343608377","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/353682379","","playground","Point","145.1140041","-37.8785838","node/353682379","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/354162611","Potlatch 0.10f","playground","Point","145.0441573","-37.9224756","node/354162611","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/354163094","","playground","Point","145.0427355","-37.922313","node/354163094","","","","","","","","","","","","","","","","","","","","","","","","","","",""
